name;source;gender;wikidata;type
Aberlering;wikidata;+;-;
Abraham-Lincoln-Allee;wikidata;m;Q91;
Adalbert-Stifter-Straße;wikidata;m;Q168542;
Adolf-Damaschke-Ring;wikidata;m;Q89439;
Alberichstraße;wikidata;m;Q1257886;
Albert-Fritz-Weg;wikidata;m;Q46141478;
Alemannenstraße;wikidata;+;Q132990;
Alfred-Delp-Straße;wikidata;m;Q61305;
Alois-Senefelder-Straße;wikidata;m;Q161048;
Altigweg;wikidata;+;"Q62204;Q100540";
Am Carl-Benz-Bad;wikidata;m;Q40224;
Amalie-Sieveking-Weg;wikidata;w;Q108680;
Andersenstraße;wikidata;m;Q5673;
Andreas-Hofer-Straße;wikidata;m;Q11697;
Andrew-Jackson-Straße;wikidata;m;Q11817;
Anna-Reiß-Weg;wikidata;w;Q47079479;
Anna-Maria-von-Schrader-Weg;wikidata;w;-;
Anna-Sammet-Straße;wikidata;w;Q116458453;
Anton-Kurz-Weg;wikidata;m;Q96053705;
Arndtstraße;wikidata;m;Q57351;
Arno-Anke-Weg;wikidata;m;Q21057245;
Asamplatz;wikidata;+;-;
August-Bebel-Park;wikidata;m;Q76520;
August-Bebel-Straße;wikidata;m;Q76520;
August-Borsig-Straße;wikidata;m;Q65271;
August-Kuhn-Straße;wikidata;m;Q762529;
Augustaanlage;wikidata;w;Q57541;
Bachstraße;wikidata;m;Q1339;
Baldurstraße;wikidata;m;Q131658;
Baloghweg;wikidata;m;Q578513;
Bartholomäusstraße;wikidata;m;Q43982;
Bassermannstraße;wikidata;+;Q810495;
Bechererplatz;wikidata;m;Q103911845;
Beethovenstraße;wikidata;m;Q255;
Beilstraße;wikidata;m;Q96775;
Benjamin-Franklin-Platz;wikidata;m;Q34969;
Bensingerstraße;wikidata;m;Q55848397;
Bergiusstraße;wikidata;m;Q76614;
Besselstraße;wikidata;m;Q75845;
Bibienastraße;wikidata;m;Q876687;
Billingstraße;wikidata;m;Q92016;
Bismarckplatz;wikidata;m;Q8442;
Bismarckstraße;wikidata;m;Q8442;
Björn-Kommer-Weg;wikidata;m;-;
Blücherstraße;wikidata;m;Q153522;
Böcklinplatz;wikidata;m;Q123071;
Böcklinstraße;wikidata;m;Q123071;
Böckstraße;wikidata;m;Q1695534;
Bodelschwinghweg;wikidata;m;Q87306;
Bohnenbergerstraße;wikidata;m;Q65183;
Brahmsstraße;wikidata;m;Q7294;
Brentanostraße;wikidata;m;Q213960;
Brucknerstraße;wikidata;m;Q81752;
Brüder Grimm-Straße;wikidata;+;"Q2793;Q6714;Q6701";
Brunhildestraße;wikidata;w;"Q850506;Q50813770;Q50813806";
Bruno-Rüffer-Straße;wikidata;m;Q95676326;
Bunsenstraße;wikidata;m;Q71031;
Bürgermeister-Fuchs-Straße;wikidata;+;-;
Bürkleplatz;wikidata;m;-;
Cahn-Ganier-Ufer;wikidata;m;-;
Calvinstraße;wikidata;m;Q11815;
Cannabichstraße;wikidata;m;Q72620;
Carl-Reiß-Weg;wikidata;m;Q1040192;
Carl-Benz-Straße;wikidata;m;Q40224;
Carl-Goerdeler-Straße;wikidata;m;Q57430;
Carl-Metz-Straße;wikidata;m;Q1039758;
Carl-Philipp-Platz;wikidata;m;Q62594;
Carl-Reiß-Platz;wikidata;m;Q1040192;
Carl-Reuther-Straße;wikidata;m;Q94764011;
Carl-Theodor-Platz;wikidata;m;Q44961;
Carl-Zuckmayer-Straße;wikidata;m;Q76820;
Carlo-Schmid-Brücke;wikidata;m;Q67511;
Caroline-Jagemann-Weg;wikidata;w;Q69707;
Carolus-Vocke-Ring;wikidata;m;Q47520256;
Cecil-Taylor-Ring;wikidata;m;-;
Chamissostraße;wikidata;m;Q154782;
Charlottenplatz;wikidata;w;Q57221;
Cheliusstraße;wikidata;m;Q92382;
Cheruskerring;wikidata;+;Q268307;
Christian-Friedrich-Schwan-Straße;wikidata;m;Q927033;
Christian-Morgenstern-Straße;wikidata;m;Q44652;
Clara-Reimann-Straße;wikidata;w;Q107526985;
Claus-von-Stauffenberg-Straße;wikidata;m;Q21209;
Clignetplatz;wikidata;m;Q1605768;
Coblitzallee;wikidata;m;Q16661298;
Coehornstraße;wikidata;m;Q560731;
Collinistraße;wikidata;m;Q318216;
Columbusstraße;wikidata;m;Q7322;
Corneliusstraße;wikidata;m;Q58833;
Dalbergstraße;wikidata;m;Q214611;
Daniel-Seizinger-Weg;wikidata;m;Q96026317;
Dehof-Arkaden;wikidata;m;Q1510455;
Dehoustplatz;wikidata;m;-;
Diakonissenstraße;wikidata;+;Q2298145;
Diesterwegstraße;wikidata;m;Q77434;
Dietrich-Bonhoeffer-Straße;wikidata;m;Q76326;
Diffenéstraße;wikidata;m;Q2086664;
Donarstraße;wikidata;m;Q42952;
Draisstraße;wikidata;m;Q77122;
