name;source;gender;wikidata;type
A 1;wikidata;;Q2121848;
A 2;wikidata;;Q2121848;
A 3;wikidata;;Q2121848;
A 4;wikidata;;Q2121848;
A 5;wikidata;;Q2121848;
Abendröte;wikidata;;Q1141780;
Acherner Straße;wikidata;;Q373824;
Achkarrereg;wikidata;;Q319670;
Achtundvierziger Platz;wikidata;;Q3588;
Ackerstraße;wikidata;;Q188869;
Adelsheimer Straße;wikidata;;Q355435;
Adlerstraße;;;;
Ahornallee;wikidata;;Q42292;
Ahornhof;wikidata;;Q42292;
Ahornweg;wikidata;;Q42292;
Akademiestraße;wikidata;;Q16006205;
Akazienstraße;wikidata;;Q5861969;
Allensteinereg;wikidata;;Q82765;
Almenplatz;;;;
Almenstraße;;;;
Alphornstraße;;;;
Alpirsbachereg;wikidata;;Q82781;
Alpseeweg;wikidata;;Q546344;
Alsenweg;wikidata;;Q165383;
Altdammer Straße;wikidata;;Q878458;
Alte Frankfurter Straße;wikidata;;Q1794;
Alte Mannheimer Poststraße;wikidata;;Q2119;
Alte Seilerei;;;;
Alteeinheimer Straße;wikidata;;Q7050;
Altenburgereg;wikidata;;Q15976;
Alter Frankfurtereg;wikidata;;Q1794;
Alter Friedhofweg;;;;
Alter Mannheimereg;wikidata;;Q2119;
Alter Meßplatz;;;;
Alter Postweg;;;;
Alter Rangierbahnhof;;;;
Altheimer Straße;wikidata;;Q440724;
Altkircher Straße;wikidata;;Q208119;
Altmühlstraße;wikidata;;Q317060;
Altrheinstraße;;;;
Altriper Straße;wikidata;;Q22461;
Amubuckel;;;;
Am Bogen;wikidata;;Q18335820;
Am Breiten Stein;;;;
Am Brunnengarten;;;;
Amünenrand;;;;
Amurchlaß;;;;
Amxerzierplatz;;;;
Am Friedensplatz;;;;
Am Friedhof;;;;
Ameheugraben;;;;
Amrünen Hag;;;;
Am Hain;wikidata;;Q1510380;
Am Herrschaftswald;;;;
Am Jüdischen Friedhof;wikidata;;Q1716367;
Am Kiefernbühl;;;;
Am Klumbengarten;;;;
Am Kuhbuckel;;;;
Am Markt;;;;
Am Meßplatz;;;;
Am Oberenuisenpark;;;;
Am Rebstock;wikidata;;Q2135068;
Am Rheinauer See;;;;
Am Römerbrunnen;;;;
Am Salzkai;wikidata;;Q104602114;
Am Sandhang;;;;
Am Schäferstock;;;;
Am Schelmenbuckel;;;;
Am Schulgarten;;;;
Am Schwalbennest;;;;
Am Sonnengarten;;;;
Am Sonnigen Hang;;;;
Am Steingarten;;;;
Am Stich;;;;
Am Stock;;;;
Am Ullrichsberg;;;;
Am Unkenteich;wikidata;;Q1515577;
Am Victoria Turm;;;;
Amaldrand;;;;
Amallstadter Bahnhof;wikidata;;Q19963296;
Ameidenbergel;;;;
Ameingarten;wikidata;;Q282;
Amildpark;;;;
Amerikanerstraße;wikidata;;Q446542;
Ammerseestraße;wikidata;;Q265336;
Amorbacher Straße;wikidata;;Q474051;
Amselstraße;wikidata;;Q25234;
Amselstraße;wikidata;;Q25234;
Anen Kasernen;;;;
Anerrena;wikidata;;Q125432;
Aner Kammerschleuse;wikidata;;Q52153386;
Aner Radrennbahn;wikidata;;Q72943011;
Anemonenweg;wikidata;;Q158286;
Angelstraße;wikidata;;Q1194492;
Anklamereg;wikidata;;Q488513;
Antwerpener Straße;wikidata;;Q12892;
Apenradereg;wikidata;;Q154897;
Apfelblüte;wikidata;;Q18674606;
Apoldaereg;wikidata;;Q490689;
Archivplatz;wikidata;;Q17592548;
Armbrustweg;wikidata;;Q181947;
Ascherslebenereg;wikidata;;Q486991;
Assenheimer Straße;wikidata;;Q25158438;
Aßmannshäuser Straße;wikidata;;Q317535;
Asterstraße;wikidata;;Q517130;
Atterseestraße;wikidata;;Q698516;
Atzelbuckelstraße;wikidata;;Q25307;
Atzelhofstraße;;;;
Auerhahnstraße;wikidata;;Q129059;
Aufem Kegel;;;;
Aufem Sand;;;;
Aufen Brockenweg;wikidata;;Q155721;
Aufen Ried;;;;
Aufer Blumenau;;;;
Aufer Vogelstang;;;;
Aufeldstraße;;;;
Aufeldweg I;;;;
Aufeldweg II;;;;
Aufeldweg III;;;;
Aufeldweg IV;;;;
Aufeldweg V;;;;
Aufstieg;;;;
Augartenplatz;;;;
Augartenstraße;;;;
Auggener Straße;wikidata;;Q268734;
Ausgasse;;;;
Außeneck;;;;
Äußere Bogenstraße;;;;
Äußere Querstraße;;;;
Äußereingertstraße;;;;
B 1;wikidata;;Q2121848;
B 2;wikidata;;Q2121848;
B 3;wikidata;;Q2121848;
